u,g,r,i,z,class,z1,zerr,u-g,g-r,r-i,i-z,class_encoded
18.94231,17.06873,16.16451,15.76223,15.43069,GALAXY,0.115751,1.99132e-05,1.8735800000000005,0.9042199999999987,0.4022799999999993,0.3315400000000004,0
16.72462,15.70479,15.37447,15.24108,15.20363,STAR,-0.0003538993,7.785156e-06,1.0198300000000025,0.3303199999999986,0.13339000000000034,0.03744999999999976,2
18.92162,17.02308,16.12341,15.71007,15.36927,GALAXY,0.09173963,1.938027e-05,1.8985400000000006,0.8996700000000004,0.4133399999999998,0.34079999999999977,0
17.43068,16.473,16.15976,16.04202,15.99878,STAR,-0.00100575,1.140301e-05,0.9576799999999999,0.3132400000000004,0.11773999999999774,0.04324000000000083,2
17.29589,17.03298,17.32542,17.58137,17.80526,STAR,-3.428179e-05,2.090124e-05,0.26291000000000153,-0.2924400000000027,-0.25594999999999857,-0.2238900000000008,2
18.95181,17.35247,16.57016,16.18732,15.89533,GALAXY,0.0365996,1.327785e-05,1.599339999999998,0.782309999999999,0.3828400000000016,0.2919900000000002,0
19.14221,17.19726,16.15997,15.64445,15.20708,GALAXY,0.1040298,2.867403e-05,1.9449499999999986,1.0372899999999987,0.5155200000000004,0.43737000000000137,0
19.39104,18.21388,17.49208,17.08579,16.86073,GALAXY,0.1479133,1.04847e-05,1.1771600000000007,0.7217999999999982,0.40629000000000204,0.22505999999999915,0
19.44253,17.37036,16.43016,15.9154,15.50164,GALAXY,0.04929543,1.555948e-05,2.07217,0.9402000000000008,0.5147600000000008,0.4137599999999999,0
18.08829,16.64897,16.20603,16.03251,15.98986,STAR,-0.000107711,9.362219e-06,1.4393200000000022,0.4429400000000001,0.1735199999999999,0.0426499999999983,2
19.15506,17.44671,16.72325,16.42776,16.26636,STAR,-0.0005314713,8.444445e-06,1.7083499999999994,0.7234599999999993,0.2954900000000009,0.16140000000000043,2
18.32422,16.51474,15.75371,15.39924,15.22197,STAR,0.0002277444,9.584805e-06,1.8094800000000006,0.7610299999999999,0.3544699999999992,0.17727000000000004,2
18.54459,16.69917,15.68682,15.1901,14.80834,GALAXY,0.07114893,1.525697e-05,1.8454200000000007,1.0123499999999979,0.4967200000000016,0.3817599999999999,0
17.84508,16.67923,16.29102,16.14331,16.08023,STAR,-3.964681e-05,8.468539e-06,1.165849999999999,0.38821000000000083,0.14771,0.06307999999999936,2
19.51693,18.29364,17.82336,17.54007,17.46282,GALAXY,0.09406717,9.254007e-06,1.2232899999999987,0.4702799999999989,0.28329000000000093,0.07724999999999937,0
18.83736,17.83484,17.52314,17.38784,17.35028,STAR,-0.0001823352,2.01249e-05,1.0025200000000005,0.3116999999999983,0.13530000000000086,0.03755999999999915,2
18.22364,16.72503,16.10146,15.82447,15.70419,STAR,-0.0003651379,8.271494e-06,1.4986099999999993,0.6235700000000008,0.2769899999999996,0.12027999999999928,2
18.36288,16.85378,16.1331,15.74486,15.44251,GALAXY,0.04246792,1.313753e-05,1.5091,0.7206800000000015,0.3882399999999997,0.3023499999999988,0
18.98617,17.578,16.92207,16.62911,16.4224,STAR,0.0002087136,1.177284e-05,1.408170000000002,0.6559299999999979,0.2929600000000008,0.20671000000000106,2
19.55128,17.68346,16.71163,16.21895,15.86713,GALAXY,0.09498414,2.30932e-05,1.8678199999999983,0.9718300000000006,0.49268,0.35182,0
19.59579,18.28208,17.78319,17.57716,17.34912,GALAXY,0.06027861,1.343007e-05,1.3137100000000004,0.4988899999999994,0.20603000000000193,0.22804000000000002,0
17.18178,16.01638,15.4179,15.05398,14.79482,GALAXY,0.07605682,1.140864e-05,1.1653999999999982,0.5984800000000021,0.36392000000000024,0.2591599999999996,0
17.33959,15.96112,15.33417,15.00056,14.68224,GALAXY,0.02552103,1.296446e-05,1.3784700000000019,0.626949999999999,0.3336100000000002,0.31831999999999994,0
19.14588,18.06623,17.58363,17.21077,17.02216,GALAXY,0.04799956,6.275488e-06,1.0796499999999973,0.4826000000000015,0.3728599999999993,0.1886100000000006,0
17.09045,15.71619,15.21938,15.04813,14.97774,STAR,-0.0001402644,9.599378e-06,1.3742600000000014,0.49681,0.1712499999999988,0.07038999999999973,2
19.45793,19.09924,19.05392,19.02503,19.05618,QSO,0.6749435,0.0001000615,0.3586899999999993,0.04532000000000025,0.028890000000000526,-0.031150000000000233,1
15.74851,14.36517,13.70977,13.3437,13.0874,GALAXY,0.03962012,9.972134e-06,1.3833399999999987,0.6554000000000002,0.36607000000000056,0.25629999999999953,0
17.76621,16.81778,16.54195,16.42325,16.41086,STAR,-0.0002372133,1.007881e-05,0.9484300000000019,0.27582999999999913,0.11870000000000047,0.012389999999999901,2
19.37416,19.57201,19.21225,19.29288,19.45202,QSO,1.326264,0.0005786418,-0.19784999999999897,0.35975999999999786,-0.08062999999999931,-0.15914000000000073,1
17.62506,16.19864,15.64074,15.42925,15.33843,STAR,-0.0002550475,8.046389e-06,1.4264200000000002,0.5579000000000018,0.2114899999999995,0.09081999999999901,2
18.44776,18.06559,18.03022,18.1748,17.97374,QSO,0.7955042,5.745785e-05,0.38216999999999857,0.035370000000000346,-0.14458000000000126,0.2010600000000018,1
19.46183,18.03113,17.22583,16.77634,16.45893,GALAXY,0.1326057,1.846082e-05,1.430699999999998,0.8053000000000026,0.4494899999999973,0.3174100000000024,0
19.49818,18.29361,18.01971,17.89528,17.83833,STAR,-0.0008845364,1.992306e-05,1.2045700000000004,0.27390000000000114,0.12443000000000026,0.0569500000000005,2
17.4959,16.53203,16.15014,15.99888,15.93752,STAR,-0.0004488217,8.960694e-06,0.96387,0.3818899999999985,0.15126000000000062,0.061360000000000525,2
19.34861,19.19478,19.11401,18.96877,18.93808,QSO,1.450795,0.0006032195,0.15382999999999925,0.08077000000000112,0.14524000000000115,0.030689999999999884,1
18.81379,16.95267,15.98468,15.54567,15.19844,GALAXY,0.08699732,1.580892e-05,1.8611199999999997,0.9679900000000004,0.43901000000000145,0.3472299999999997,0
19.09166,17.63507,17.07942,16.87184,16.77006,STAR,2.138032e-05,7.682203e-06,1.456590000000002,0.55565,0.2075800000000001,0.10177999999999798,2
17.77592,16.61734,16.14381,15.89642,15.71339,GALAXY,0.03775856,1.094812e-05,1.1585800000000006,0.47353000000000023,0.24738999999999756,0.18303000000000047,0
19.03057,18.83711,18.80439,18.66487,18.22353,QSO,0.3860199,6.858769e-05,0.19346000000000174,0.03271999999999764,0.13952000000000098,0.4413400000000003,1
18.68499,18.26759,18.2381,18.02997,18.05875,QSO,0.5387136,6.786742e-05,0.41740000000000066,0.029489999999999128,0.2081300000000006,-0.028780000000001138,1
18.54838,17.47191,16.97583,16.71003,16.51332,GALAXY,0.02922589,7.084459e-06,1.0764700000000005,0.49608000000000274,0.2657999999999987,0.1967099999999995,0
18.76513,17.66283,17.70259,17.77118,17.82109,STAR,-0.000717992,7.600522e-06,1.1022999999999996,-0.03976000000000113,-0.06859000000000037,-0.049910000000000565,2
19.06771,18.08751,17.36359,16.95468,16.77086,GALAXY,0.2028021,1.236365e-05,0.9802,0.7239200000000032,0.4089099999999988,0.18382000000000076,0
19.11163,17.66049,16.90813,16.47642,16.22423,GALAXY,0.07199986,1.365615e-05,1.4511400000000023,0.7523599999999995,0.43170999999999893,0.25219000000000236,0
19.55621,19.41406,19.42749,19.2129,19.10389,QSO,1.845831,0.0008402119,0.1421500000000009,-0.013429999999999609,0.21458999999999762,0.10901000000000138,1
18.73649,16.78883,15.80331,15.36025,15.01344,GALAXY,0.08319885,1.582745e-05,1.947659999999999,0.9855200000000011,0.4430599999999991,0.3468100000000014,0
19.51987,17.56103,16.443,15.95302,15.57304,GALAXY,0.1424379,2.508896e-05,1.9588400000000021,1.1180299999999974,0.48998000000000097,0.37997999999999976,0
19.34936,17.99864,17.46101,17.14185,16.91346,GALAXY,0.09168436,1.074383e-05,1.350719999999999,0.53763,0.3191600000000001,0.22839000000000098,0
19.46649,17.49758,16.55055,16.09325,15.71385,GALAXY,0.1278642,3.21023e-05,1.968910000000001,0.947029999999998,0.45730000000000004,0.3794000000000004,0
18.11997,16.63963,15.96448,15.63111,15.38489,GALAXY,0.0483654,1.583585e-05,1.4803399999999982,0.6751500000000004,0.3333700000000004,0.24621999999999922,0
18.43953,16.66318,15.84103,15.43206,15.13284,GALAXY,0.03510561,8.748295e-06,1.7763500000000008,0.8221500000000006,0.40897000000000006,0.29922000000000004,0
18.81099,17.59201,17.13659,16.89023,16.73831,GALAXY,0.03447987,6.471191e-06,1.218980000000002,0.4554199999999966,0.2463600000000028,0.1519200000000005,0
